product_name,semantic,count
1L裝 發泡煉石 陶粒 鋪底石 鋪面石 多肉介質 缽底石 陶粒水耕 礫耕 矽石 蘭花介質,Negative,4
1L裝 發泡煉石 陶粒 鋪底石 鋪面石 多肉介質 缽底石 陶粒水耕 礫耕 矽石 蘭花介質,Positive,2
24H出貨上好生醫 醫療口罩 成人醫療口罩 50入/盒 滿版口罩 耳帶同色 兒童醫療口罩  莫蘭迪色系 平面醫療口罩,Negative,4
24H出貨上好生醫 醫療口罩 成人醫療口罩 50入/盒 滿版口罩 耳帶同色 兒童醫療口罩  莫蘭迪色系 平面醫療口罩,Positive,2
24H現貨出貨附發票8件88折生日眼鏡 生日道具 慶生道具 生日快樂眼鏡 生日眼鏡道具 生日裝飾 生日髮箍 生日帽,Negative,3
24H現貨出貨附發票8件88折生日眼鏡 生日道具 慶生道具 生日快樂眼鏡 生日眼鏡道具 生日裝飾 生日髮箍 生日帽,Positive,3
3M 亮彩舒適型止滑/耐磨手套---(S/M/L/XL-5色均有現貨),Positive,4
3M 亮彩舒適型止滑/耐磨手套---(S/M/L/XL-5色均有現貨),Negative,2
3M隔音耳塞台灣現貨 24H出貨 隔音耳塞 耳塞 3M 防噪音 睡眠 游泳 降噪 靜音 入耳式耳塞,Negative,4
3M隔音耳塞台灣現貨 24H出貨 隔音耳塞 耳塞 3M 防噪音 睡眠 游泳 降噪 靜音 入耳式耳塞,Positive,2
99享9折小亮點釹鐵硼強力磁鐵 超強磁鐵 強磁 圓型 方型 超強力吸鐵 DIY 文具教具科學實驗 N35 稀土,Positive,3
99享9折小亮點釹鐵硼強力磁鐵 超強磁鐵 強磁 圓型 方型 超強力吸鐵 DIY 文具教具科學實驗 N35 稀土,Negative,3
Blossom&R  現貨 毛毛蟲拖鞋 米其林拖鞋 麵包拖鞋 居家情侶拖鞋 防滑拖鞋 ins風 厚底防臭拖鞋 Q彈拖鞋,Negative,5
Blossom&R  現貨 毛毛蟲拖鞋 米其林拖鞋 麵包拖鞋 居家情侶拖鞋 防滑拖鞋 ins風 厚底防臭拖鞋 Q彈拖鞋,Positive,1
CC♣10周年‧目錄♣OPP自黏袋多尺寸100入超透明自黏袋OPP外包袋透明包裝袋服飾袋黛渼 買10送1,Negative,4
CC♣10周年‧目錄♣OPP自黏袋多尺寸100入超透明自黏袋OPP外包袋透明包裝袋服飾袋黛渼 買10送1,Positive,2
CC目錄♣台灣製快速出貨破壞袋100入-破壞袋.快遞袋.寄件袋-白色-粉紅色-藍色-紫色-綠色-黑色-蒂芬妮色黛渼 ,Negative,5
CC目錄♣台灣製快速出貨破壞袋100入-破壞袋.快遞袋.寄件袋-白色-粉紅色-藍色-紫色-綠色-黑色-蒂芬妮色黛渼 ,Positive,1
JOJO現貨⚡新款到♡個性主題霧面貼紙包 48張以上 防水貼紙 霧面貼紙 好撕貼紙 裝飾貼紙 手帳素材 不留痕 可愛貼紙,Negative,4
JOJO現貨⚡新款到♡個性主題霧面貼紙包 48張以上 防水貼紙 霧面貼紙 好撕貼紙 裝飾貼紙 手帳素材 不留痕 可愛貼紙,Positive,2
MOLDEX 美國超靜音耳塞 全規格公司貨 - 6800 6870 6604 6820 6630 適合工作睡眠,Negative,4
MOLDEX 美國超靜音耳塞 全規格公司貨 - 6800 6870 6604 6820 6630 適合工作睡眠,Positive,2
SGS認證304不鏽鋼保鮮盒 保鮮碗 便當盒 餐盒 飯盒 密封盒 不鏽鋼便當盒 泡麵碗 不鏽鋼碗 兒童碗 隔熱碗,Negative,5
SGS認證304不鏽鋼保鮮盒 保鮮碗 便當盒 餐盒 飯盒 密封盒 不鏽鋼便當盒 泡麵碗 不鏽鋼碗 兒童碗 隔熱碗,Positive,1
"Smart Shake,ON, MYPROTEIN  搖搖杯 健身杯 重訓 高蛋白 乳清",Negative,4
"Smart Shake,ON, MYPROTEIN  搖搖杯 健身杯 重訓 高蛋白 乳清",Positive,2
Suke.co 10入 大地色 莫蘭迪 美顏 不脫妝 V臉 顯瘦 立體口罩 3D口罩  3D立體口罩 熔噴布 防塵 口罩,Negative,4
Suke.co 10入 大地色 莫蘭迪 美顏 不脫妝 V臉 顯瘦 立體口罩 3D口罩  3D立體口罩 熔噴布 防塵 口罩,Positive,2
WINE正品第5代 台灣現貨 萬向 水龍頭 起泡器 增壓 延伸 過濾器 起波器 省水 機械臂 1080 洗漱 調節器,Negative,5
WINE正品第5代 台灣現貨 萬向 水龍頭 起泡器 增壓 延伸 過濾器 起波器 省水 機械臂 1080 洗漱 調節器,Positive,1
[♥小桃代購♥開發票] 韓國 ●Median 93% 護理牙膏 120g 麥迪安 效期最長 單筆最多60條 滿99元出貨,Negative,5
