product_name,price_min,price_max,reviews
台灣出貨太陽能感應燈 太陽能樓梯燈 庭園燈 台階燈 太陽能燈 led樓梯燈 欄桿燈 階梯燈 陽檯燈 戶外庭園燈 草坪燈,20.0,65.0,"效能:還不錯

暖色光不會很亮，安裝簡單，很適合有欄杆的陽台或是女兒牆來使用，簡單幾個燈就有不錯的效果了"
台灣出貨太陽能感應燈 太陽能樓梯燈 庭園燈 台階燈 太陽能燈 led樓梯燈 欄桿燈 階梯燈 陽檯燈 戶外庭園燈 草坪燈,20.0,65.0,"效能:亮度很夠
品質:讚讚的
和圖片相符:Good

原本沒抱太大期望, 沒想到亮度很夠欸, 雖然是塑膠, 但 質感還不錯, 已打算再回購。"
台灣出貨太陽能感應燈 太陽能樓梯燈 庭園燈 台階燈 太陽能燈 led樓梯燈 欄桿燈 階梯燈 陽檯燈 戶外庭園燈 草坪燈,20.0,65.0,東西完整，出貨快速。尤其是庭院燈，小巧可愛，可是卻反應靈敏，我非常喜歡。
台灣出貨太陽能感應燈 太陽能樓梯燈 庭園燈 台階燈 太陽能燈 led樓梯燈 欄桿燈 階梯燈 陽檯燈 戶外庭園燈 草坪燈,20.0,65.0,"品質:尚可
和圖片相符:是
效能:不錯

雖然不是很細緻的模具，但太陽能效果 燈光等  都對得起這個價格，個人覺得還不差 可以買回來好好利用一下。"
台灣出貨太陽能感應燈 太陽能樓梯燈 庭園燈 台階燈 太陽能燈 led樓梯燈 欄桿燈 階梯燈 陽檯燈 戶外庭園燈 草坪燈,20.0,65.0,回購數次了，很喜歡。到了半夜2點了燈還是亮著。出貨速度快。包裝完整。雙面膠我都用我自己加厚的比較黏的住。
台灣出貨太陽能感應燈 太陽能樓梯燈 庭園燈 台階燈 太陽能燈 led樓梯燈 欄桿燈 階梯燈 陽檯燈 戶外庭園燈 草坪燈,20.0,65.0,"品質:還行
和圖片相符:相符合
效能:感覺不錯

拿到的時候，商品完整沒有受損，物美價廉，出貨效率高，有機會會再次回購。"
台灣免運 SGS檢驗合格玻璃杯 雙層玻璃杯 耐熱玻璃 玻璃水杯 咖啡杯 隔熱杯 雙層杯 防燙杯 杯子 馬克杯 蛋形杯,19.0,89.0,"效能:好
品質:很棒
和圖片相符:和看到的圖片一樣喔！

在眾多的店家中，看到了這店家有許多我要的商品可一次購買，覺得很方便，於是下訂了，沒想到品質非常好，讓我有小驚喜！下次有需要會再續購的！"
台灣免運 SGS檢驗合格玻璃杯 雙層玻璃杯 耐熱玻璃 玻璃水杯 咖啡杯 隔熱杯 雙層杯 防燙杯 杯子 馬克杯 蛋形杯,19.0,89.0,"效能:隔熱保冰還不錯
品質:輕盈好拿
和圖片相符:與圖片一樣

裝起來感覺很好看很喜歡，一使用有愛上，會想用它常常裝喝的。"
台灣免運 SGS檢驗合格玻璃杯 雙層玻璃杯 耐熱玻璃 玻璃水杯 咖啡杯 隔熱杯 雙層杯 防燙杯 杯子 馬克杯 蛋形杯,19.0,89.0,對雙層玻璃杯認識太晚，終於有玻璃杯不要溫度掉的太快，還能防燙，冰飲沒水珠，手不用濕答答，杯蓋還可以當杯墊增加穩固。這個價格太完美～
台灣免運 SGS檢驗合格玻璃杯 雙層玻璃杯 耐熱玻璃 玻璃水杯 咖啡杯 隔熱杯 雙層杯 防燙杯 杯子 馬克杯 蛋形杯,19.0,89.0,價格實惠，出貨迅速！正好需要咖啡杯就在頁面分類出現(大數據)，利用免運券購買更是划算。基本上小杯子摩擦或製作過程難免有些摩擦(擦傷)，但只要不影響使用或龜裂等瑕疵都可以接受。謝謝！很滿意本次購物體驗。
